aboutText,age,caste,city,college,employedIn,height,profileID,religion
My daughter is smart and fair. She has done Masters in Computer Science from University of Southern California and is working in California. We are looking for a groom who wants to settle in the US.,27,Shewetamber,"Sunnyvale, California",,Private Sector,5ft 8in,SMF1757283,Jain
I am working with a reputed US MNC as Asst Mgr. I am looking for a partner who is well settled and understanding.,27,Sunni,"Gurgaon, Haryana, India",,Private Sector,5ft 7in,SMF1756997,Muslim
"Am fun-loving, family-oriented, straight-forward person with modern outlook and traditional values. I like to hang-out, visit places, have good things in life. I also balance this by relaxing at home and spending good time with family.",27,Brahmin - Saraswat,"Bangalore, Karnataka, India",,MNC,5ft 8in,SMF1754255,Hindu
Am Monalisa pradhan and am a simple girl. I am looking for an understanding partner. ,27,Khandayat,"Cuttack, Orissa, India",,Not Working,5ft,SMF1754805,Hindu
She is down to earth and soft spoken person. ,27,Agarwal,"Pune, Maharashtra, India",,MNC,5ft 7in,SMF1755760,Hindu
"My Daughter is outgoing, confident, caring, straight forward and fun loving. She loves to explore new places, is a food connoisseur & gourmet. Looking out for an honest, fun loving, family loving partner and who is from a decent, educated, professional and well cultured family person. ",27,Vaishnav,"Mumbai, Maharashtra, India",,Private Sector,5ft 6in,SMF1753103,Hindu
"I am a simple, loving, caring, decent, understanding & adaptable with a positive attitude towards life. ",27,Kushwaha (Koiri),"Delhi, Delhi, India",,Private Sector,5ft 6in,SMF1752057,Hindu
"She is lovely, beautiful, easy going and adaptable person. She is homely with a great mindset- that understands the family values. She is very sensitive, sentimental, caring, and charming girl. She is fun loving. Loves to enjoy with her family and Friends.",27,Brahmin,"Jabalpur, Madhya Pradesh, India",,Private Sector,5ft 4in,SMF1753510,Hindu
Hi I am Jayanthi. I am MBA graduate. Right now i am working as a sales manager in leading health insurance company. I am very affectionate and family oriented girl. ,27,Yadav,,,Private Sector,5ft 4in,SMF1752721,Hindu
She is studying 2nd yr M.Sc Nursing from Mumbai. Father is in private service and mother in govt. service. Sister  has completed her BE and is pursuing further education/job. ,27,Nair,"Mumbai, Maharashtra, India",,Others,5ft 5in,SMF1750321,Hindu
"She is simple, well mannered, responsible, intelligent and Islamic person.",27,Sunni,"Hyderabad, Andhra Pradesh, India",,Not Working,5ft 4in,SMF1751283,Muslim
"My daughter Shazia is a simple natured, well behaved and obedient girl. She is traditional with broader views about life. She is regular with fasts and namaaz. We are a close knit family residing in Kulti(Asansol). Myself is a doctor practicing medicine. Her mother is a doctor too but right now she is not practicing. Elder brother is a physiotherapist and younger sister is studying in convent. We are looking for a life partner for her who is qualified and well settled and hail from a good and cultured family.",27,Sunni,"Kolkata, West Bengal, India",,Private Sector,5ft 4in,SMF1750733,Muslim
"I am looking for a responsible and emotional partner. I wish to be associated with someone who will understand me better. I want the man to be well-educated and is open-minded. My friends describe me as hardworking, reserved, a confider, friendly and outgoing person who love reading biography, books, etc. ",27,Catholic,"Hertford, Hertfordshire",,Private Sector,5ft 6in,SMF1752234,Christian
"My sister is very sober, simple and down to earth. She is working in reputed architect company. She is well settled and looking for a B.Arch, M.Arch, B.Tech, M.Tech highly qualified person.",27,Rajput,"Delhi, Delhi, India",,Private Sector,5ft 3in,SMF1748852,Hindu
"My daughter is simple, hard working and down to earth person. She has done MDS in prosthodontics and is very oriented in her profession.",27,Brahmin,"Panchkula, Haryana, India",,Private Sector,5ft 8in,SMF1750815,Hindu
"Simple, fun loving, hard working and career oriented.",27,Protestant,"Seattle, Washington",,Private Sector,5ft 2in,SMF1750355,Christian
"Hello, My name is Shailee Rawat. I have completed my Masters in Computers/ IT. I am currently working as a Sr. Software Developer / Programmer in Delhi. My family is traditional middle class family. I am looking for someone who is understandable and moreover who respect family relations.
",27,Jat,"Ghaziabad, Uttar Pradesh, India",,Private Sector,5ft 5in,SMF1751800,Hindu
"Fatima is my daughter. She is a God loving girl with a gentle and charming nature that make everybody adore her. She is full of life and because of her caring nature, she is very close to everybody in the family. She is well-qualified and professionally experienced. She has industry experience of 2 yrs in IT with TCS, Mumbai. Currently she is working as a Executive Engineer with an esteemed PSU of Government of India. She is very down to earth and is a true family person. She is a jovial person who has been very active in all the co-curricular activities in school and college. She has always been upto something creative in her life. Making everybody around her happy and jovial with her efforts make her special among the siblings. She is the perfect blend of Islamic values and professionalism. Our family is practicing Muslim family who gives much importance to education and learning. We believe in simple living and believe in success in our lives in the light of Islamic rules. I am her father and am a homeopath (Private Doctor) and her mother is a teacher in Kendriya Vidyalaya, her younger brother completed his BE Mechanical Engineering and is working with TCS. Her paternal family belongs to MP and UP and her maternal family belongs to Hyderabad and various cities in AP. ",27,Sunni,"Bangalore, Karnataka, India",,Public Sector,5ft 5in,SMF1752531,Muslim
"MBA by profession and currently working as HR professional at Allahabad. Polite and humble, well cultured as well as fun loving. Father is Retired from Army. Brother is currently serving Army",27,Brahmin - Saryuparin,"Allahabad, Uttar Pradesh, India",,Private Sector,5ft 2in,SMF1746935,Hindu
"Simple, moderate, independent, loving, caring, emotional person. ",27,Kurmi Kshatriya,"Rest of Delhi, Delhi, India",,Private Sector,5ft 1in,SMF1746673,Hindu
"My daughter is simple, kind, lovable and God fearing girl with Christian values.",27,Protestant,"Kanpur, Uttar Pradesh, India",,Private Sector,5ft 6in,SMF1747702,Christian
