aboutText,age,caste,city,college,employedIn,height,profileID,religion
"Hailing from a respectable middle-class Christian family in Kerala. Born and brought up in Mumbai. Amiable and pious person. Completed Master of Pharmacy (M Pharm). Presently working as Dy. Manager, R&D in a reputed pharmaceutical company in Hyderabad.",28,Orthodox,"Navi Mumbai, Maharashtra, India",,Private Sector,5ft 5in,SMM1760368,Christian
"I am a simple, down to earth, energetic and caring guy.",28,Arora,"Mumbai, Maharashtra, India",,Central Government,5ft 6in,SMM1759737,Hindu
I am M.Com MBA (finance) and working as JAO in BSNL Ahmadabad. I am simple and easy going person.,28,Brahmin,"Ahmedabad, Gujarat, India",,Central Government,5ft 9in,SMM1760015,Hindu
"I am putting this profile on behalf of my brother. He has his business of printing in our native place i.e. Bijnor. He lives with parents, Big brother lives in Delhi and has his own business. I am third living in Mumbai and handling big bro's business in Maharashtra.
",28,Sonar,"Bijnor, Uttar Pradesh, India",,Others,5ft 6in,SMM1759849,Hindu
Currently working in Mahindra as a Deputy Manager and living in Pune. ,28,Matang,"Pune, Maharashtra, India",,Private Sector,5ft 5in,SMM1759131,Hindu
I'm Puneeth Kumar from Hyderabad. I am in to Business (Renewable Energy Industry). I am a Graduate in Computer Sciences from Osmania University and I hold a Six Sigma Green Belt. My mother is Government employee and have a younger sister. ,28,Protestant,"Hyderabad, Andhra Pradesh, India",,Others,5ft 11in,SMM1759502,Christian
I am running my office in my home town.,28,Sikh - Rajput,"Yamuna Nagar, Haryana, India",,Others,5ft 10in,SMM1759501,Sikh
"I will describe myself as a friendly, dependable, understanding, practical and fun loving person. I am emotional and expressive too. I believe in enjoying each moment of life. Apart from this, I guess people need to meet to know each other better.",28,Kokanastha Maratha,"Belgaum, Karnataka, India","Other College, Bangalore University",Private Sector,5ft 3in,SMM1759181,Hindu
"Hi, I would like to describe myself as a simple fun loving person, religious and has high regards for family values. I have done my BTech from IP University and MBA from IIT, Delhi. Currently working with a Delhi based reputed public sector company under ministry of Petroleum. I am looking for a partner who is caring, understanding and having high moral and family values preferably working in govt sector or a teacher.",28,Arora,"Delhi, Delhi, India",,Public Sector,5ft 10in,SMM1759444,Hindu
I am simple and down to earth person with simple living and good thinking nature.  I have completed my graduation from Dr. B.R Ambedkar university and presently working in share market as a Arbitrageur in delhi.  ,28,Gupta,"Delhi, Delhi, India",,Private Sector,5ft 10in,SMM1759227,Hindu
