aboutText,age,caste,city,college,employedIn,height,profileID,religion
"I am simple, fun loving and cheerful family oriented responsible person who try to live happy every moment. Loves kids, nature & driving. I believe in love rather than being attached to anything or anyone.",39,Naidu,"Bangalore, Karnataka, India",,MNC,5ft 7in,SMM1760283,Hindu
"I am honest, hard working and open person. Be live in live and let live. Cooking, singing and driving are my passion",39,Brahmin,"Delhi, Delhi, India",,Private Sector,5ft 8in,SMM1752088,Hindu
"I am into business of Distribution of Cafe Coffee Day Products & Vending Machines. I completed my Graduation in Commerce From SIES College, Mumbai. My Father has recently retired from his business & devoting full time to my business. My Mother is a Home Maker. Our family is settled in Mumbai since last two generation. ",39,,"Mumbai, Maharashtra, India",,Others,5ft 11in,SMM1745034,Hindu
"I am a simple and fun loving person. My passion includes riding bikes, visiting beautiful scenic hill stations etc. Life is a beautiful journey looking for a partner who feels the same. ",39,Brahmin - Iyer,"Thane, Maharashtra, India",,Private Sector,5ft 8in,SMM1745140,Hindu
I am straight forward and funloving person. ,39,Vaishya Vani,"Mumbai, Maharashtra, India",,Private Sector,5ft 8in,SMM1745594,Hindu
Physically Challenged and love music. I'm simple and loving person.,39,Mudaliyar,"Tumkur, Karnataka, India",,State Government,5ft 2in,SMM1745568,Hindu
Believe that a smiling face and peaceful mind can make people happier. ,39,Protestant,"Mysore, Karnataka, India",,Public Sector,5ft 4in,SMM1744854,Christian
"Write about yourself, your likes and dislikes, personality and traits, aspirations in life, unique characteristics, etc.",39,Brahmin,"Mumbai, Maharashtra, India",,Private Sector,5ft 11in,SMM1740541,Hindu
I am looking for a life partner who would be a great companion and good friend for the rest of my life.,39,Naidu,"Hyderabad, Andhra Pradesh, India",Hyderabad University,Not Working,5ft 6in,SMM1736639,Hindu
"Widowed, having 2 lovely kids 7 yrs and 1 yr respectively. Unfortunately lost my wife after the birth of my 2nd child due to a bad scisorian section. Working in Middle East in an MNC with a managerial position.",39,Brahmin,"Bhubaneshwar, Orissa, India",,Private Sector,5ft 9in,SMM1731609,Hindu
"Simple living high thinking, belongs to an upper middle class family, one sister is married, father is a business man and mother is a home maker. ",39,Sikh - Arora,"Dubai, Dubai",,Public Sector,5ft 11in,SMM1732151,Sikh
"I am a simple, calm, responsible, friendly and Humorous person, Hobbies are Travel, Hiking, Biking, Long drives, Visit Tourist places and temples, Practice little of Yoga and Aerobics, Moderate reading. Learn new sports like Skiing, Rafting, Snow Skating, Jet Skiing etc during US stay. ",39,Brahmin - Iyengar,"Jersey City, New Jersey",,MNC,5ft 11in,SMM1741057,Hindu
Simple and loving at heart. Looking for a soul mate with simplicity and loving nature. ,39,Agarwal,"Noida, Uttar Pradesh, India",,Private Sector,5ft 8in,SMM1731271,Hindu
"Pleasant personality. Have worked in Australia, UK, Canada. Hobbies are Photography, Long drives, swimming. Believes in family values. ",39,Digambar,"Pune, Maharashtra, India",,Private Sector,5ft 11in,SMM1728135,Jain
"Hi, I am a simple & straight-forward, jovial & lighthearted, honest & bit-sensitive person. I do not have much hang-up in life but I certainly give due importance to transparency in all that we do. I am looking for a compatible partner with whom I can relate to as a friend and share joys & sorrows of life, with whom I should be able to understand myself and reflect upon what love, care & trust are all about. I strongly believe that communication is of prime importance in any relationship and it is only when two minds can talk to each other & understand each other, we can get along well. I got my share of tribulations from past relationship but I am an eternal optimist with a never-give-up attitude.",39,Brahmin - Kulin,"Kolkata, West Bengal, India",Indira Gandhi National Open University (IGNOU),Private Sector,5ft 7in,SMM1727522,Hindu
I am working in Software company as a Quality Analyst in Chennai. My father is retired and he is in Bangalore. I have four sisters. All are married and well settled.  ,39,Brahmin - Iyer,"Bangalore, Karnataka, India",,Private Sector,5ft 6in,SMM1726316,Hindu
I am an Engineers and having own small scale industry.,39,Kumbhar,"Nasik, Maharashtra, India",,Others,5ft 4in,SMM1737278,Hindu
"Simple person, looking for a life partner who is understanding and caring.",39,Brahmin - Garhwali,"Delhi, Delhi, India",,MNC,5ft 8in,SMM1726571,Hindu
"I am a follower of Radha Soami Satsang Beas. I am pure vegetarian. I have a 13 year old daughter who is living with her grandmother. Both my parents have passed away. I am living alone. 
My wife passed away due to cancer in February 2012. I wish to marry a woman who is not having any child with her. She may be a widow. She should be in the age group of 30-35 years.",39,,,,Private Sector,5ft 11in,SMM1728657,Hindu
"Being simple, straight forward, self esteemed, liberalized, outgoing, friendly and caring. I always trying to make everyone happy. So, want to enjoy my life with a person, who understands me and help me through all ups and downs of life.",39,Sikh - Ramgharia,"Pune, Maharashtra, India",,Others,5ft 3in,SMM1726818,Sikh
"My friends would describe me as fun-loving, Intelligent, smart, handsome, very soft in spoken and by nature & very much attached with family. I was born in Calcutta and brought up in Allahabad (U.P.). After graduation from Allahabad University, worked in some Star Category Hotels in Surat & Delhi for more than ten years in top management rank like Manager & Executive in Front Office and F&B department.

",39,Brahmin,"Allahabad, Uttar Pradesh, India",Allahabad University,Private Sector,5ft 7in,SMM1722565,Hindu
"Myself Prabal Pratap Aggarwal running my own coaching classes at Ambala. I have my own house at Ambala Cantt in HBC. We have our parental property at Nahan. Myself also engaged with the publisher for book writing. I am sensible, hard working, independent and responsible person. I am looking for a honest, hard working and traditional girl who cares about family & cultural values.",39,Agarwal,"Ambala, Haryana, India",,Private Sector,5ft 6in,SMM1727533,Hindu
"My brother is living in Mohali with his son Arshdeep. He is very caring, well mannered and good looking person. ",39,Ad Dharmi,"Mohali, Punjab, India",,Private Sector,5ft 7in,SMM1720707,Hindu
"Down to earth, simple, honest, social, adventurous, caring, settled, aim to turn dreams into reality, family values, music, long drives, travel, live on my own in Australia and parents in Mauritius.",39,Hindu-Others,"Perth, Western Australia",,Private Sector,6ft,SMM1727059,Hindu
I am a simple person who expect a simple and jolly nature partner.,39,Agarwal,"Jaipur, Rajasthan, India",Agra University,Private Sector,5ft 10in,SMM1720963,Hindu
"Very simple, hard working and co-operative person. ",39,Kurmi Kshatriya,"Rest of Delhi, Delhi, India",,Private Sector,5ft 4in,SMM1724187,Hindu
"Very Simple Lifestyle, Positive thinking, love my family very much.",39,Sonar,"Haridwar, Uttaranchal, India",Other General University,Private Sector,5ft 6in,SMM1711110,Hindu
"M.A (HISTORY), M.A (YOGA) M.Phil (Education), PhD.(EDUCATION) FROM GUJARAT UNIVERSITY. He has done 12th from government school and BA in History and Computer science and MA in English and yoga and History and B.ED and M.ED from Gujarat University, AND PGDCA ALSO.",39,Rajput,"Ahmedabad, Gujarat, India",Gujarat University,Private Sector,5ft 11in,SMM1709245,Hindu
"Basically, I am from Andhra Pradesh and right now staying in Hajipur for my job.",39,Brahmin,"Hajipur, Bihar, India",Other General University,MNC,5ft 2in,SMM1710265,Hindu
"Write about yourself, your likes and dislikes, personality and traits, aspirations in life, unique characteristics, etc.",39,,"Amravati, Maharashtra, India","Amravati University, Maharashtra",State Government,5ft 10in,SMM1708663,Buddhist
"Simple and caring, looking for someone who's educated and same likes.",39,Pillai,"Bangalore, Karnataka, India",,Private Sector,5ft 11in,SMM1734026,Hindu
