age1,gender,income,height,kgs,kgs2,bmi,religion1,eating1,status1,marital_status1,family_type1,manglik1,horoscope,drinking1,smoking1,values1,complexion1,body1,caste_imp,created_for,employed1,father,mother,living,brothers,sisters,education1
19.0,0,2500.0,62.0,41.0,48.0,16.5322911291,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,0,0.0,4.0,1.0,4.0,1.0,2.0,0.0,0.0
20.0,0,1250.0,63.0,60.0,52.0,23.4316417234,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,6.0,2.0,4.0,1.0,0.0,0.0,3.0
21.0,0,5833.0,61.0,55.0,72.0,22.9105537491,0.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0
21.0,0,2500.0,63.0,50.0,60.0,19.5263681029,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,1,1.0,5.0,2.0,4.0,1.0,0.0,0.0,2.0
21.0,0,7500.0,63.0,50.0,57.0,19.5263681029,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1,0.0,4.0,7.0,9.0,1.0,0.0,1.0,2.0
22.0,0,2500.0,61.0,43.0,60.0,17.9118874766,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,4.0,8.0,4.0,1.0,1.0,1.0,2.0
22.0,0,14167.0,62.0,42.0,59.0,16.935517742,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,0.0,0.0,1.0,4.0,1.0,1.0,3.0,3.0
22.0,0,2500.0,64.0,52.0,57.0,19.6777737305,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,1.0,2.0,4.0,1.0,2.0,0.0,2.0
22.0,0,1250.0,60.0,45.0,41.0,19.3750387501,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,1,0.0,4.0,8.0,4.0,1.0,1.0,2.0,2.0
22.0,0,2500.0,67.0,55.0,53.0,18.9909045445,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,4.0,6.0,4.0,1.0,1.0,2.0,2.0
22.0,0,417.0,64.0,41.0,63.0,15.5151677491,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,1,0.0,0.0,10.0,4.0,1.0,0.0,2.0,1.0
22.0,0,2500.0,62.0,50.0,72.0,20.1613306452,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,1,2.0,4.0,8.0,4.0,1.0,1.0,1.0,2.0
22.0,0,7500.0,64.0,50.0,59.0,18.9209362794,0.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,5.0,7.0,4.0,1.0,0.0,1.0,2.0
23.0,0,4167.0,65.0,50.0,70.0,18.3432319527,0.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1,1.0,4.0,7.0,5.0,1.0,2.0,0.0,3.0
23.0,0,14167.0,64.0,62.0,67.0,23.4619609864,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1,1.0,0.0,7.0,4.0,0.0,1.0,0.0,3.0
23.0,0,2500.0,60.0,52.0,60.0,22.3889336668,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1,3.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0
23.0,0,5833.0,65.0,55.0,48.0,20.177555148,0.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,4.0,7.0,4.0,1.0,1.0,0.0,2.0
23.0,0,5833.0,67.0,51.0,53.0,17.6097478504,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,5.0,2.0,4.0,1.0,1.0,0.0,2.0
23.0,0,417.0,62.0,52.0,56.0,20.9677838711,0.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1,0.0,4.0,2.0,4.0,1.0,1.0,0.0,2.0
23.0,0,5833.0,62.0,52.0,60.0,20.9677838711,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,4.0,2.0,8.0,1.0,1.0,1.0,2.0
23.0,0,5833.0,64.0,57.0,62.0,21.5698673585,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1,0.0,4.0,2.0,4.0,1.0,1.0,0.0,3.0
23.0,0,4167.0,63.0,42.0,62.0,16.4021492064,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,1,2.0,0.0,5.0,4.0,1.0,1.0,2.0,2.0
